Country,City,Latitude,Longitude
Angola,Luanda,-8.8272699,13.2439512
Benin,Cotonou,6.3676953,2.4252507
Botswana,Gaborone,-24.6581357,25.9088474
Burkina Faso,Ougadougou,12.368148,-1.527085
Burundi,Bujumbura,-3.3638125,29.3675028
Cabo Verde,Praia,14.9160169,-23.5096132
Cameroon,Douala,4.0429408,9.706203
Central African Republic,Bangui,4.3907153,18.5509126
Chad,N'Djamena,12.1191543,15.0502758
Comoros,Moroni,-11.6931255,43.2543044
Congo,Brazzaville,-4.2694407,15.2712256
Cote d'Ivoire,Abidjan,5.320357,-4.016107
Democratic Republic of the Congo,Kinshasa,-4.3217055,15.3125974
Democratic Republic of the Congo,Lubumbashi,-11.6642316,27.4826264
Djibouti,Djibouti,11.5936903,43.1472724
Equatorial Guinea,Bata,1.8650897,9.768665
Eritrea,Asmara,15.3389667,38.9326763
Eswatini,Manzini,-26.4958706,31.3695887
Ethiopia,Addis Ababa,9.0107934,38.7612525
Gabon,Libreville,0.390002,9.454001
Gambia,Serrekunda,13.438762,-16.674807
Ghana,Accra,5.5600141,-0.2057437
Ghana,Kumasi,6.698081,-1.6230404
Guinea,Conakry,9.5170602,-13.6998434
Guinea-Bissau,Bissau,11.861324,-15.583055
Kenya,Nairobi,-1.2832533,36.8172449
Lesotho,Maseru,-29.310054,27.478222
Liberia,Monrovia,6.328034,-10.797788
Madagascar,Antananarivo,-18.9100122,47.5255809
Malawi,Lilongwe,-13.9875107,33.768144
Mali,Bamako,12.649319,-8.000337
Mauritania,Nouakchott,18.0792379,-15.9780071
Mauritius,Port Louis,-20.1637281,57.5045331
Mozambique,Maputo,-25.966213,32.56745
Namibia,Windhoek,-22.5743922,17.0790688
Niger,Niamey,13.524834,2.109823
Nigeria,Lagos,6.4550575,3.3941795
Nigeria,Abuja,9.0643305,7.4892974
Nigeria,Kano,11.9918671,8.5303654
Nigeria,Ibadan,7.3777462,3.8972497
Nigeria,Port Harcourt,4.7676576,7.0188527
Rwanda,Kigali,-1.950851,30.061507
Sao Tome and Principe,Sao Tome,0.3389242,6.7313031
Senegal,Dakar,14.693425,-17.447938
Seychelles,Victoria,-4.6232085,55.452359
Sierra Leone,Freetown,8.479004,-13.26795
Somalia,Mogadishu,2.042778,45.338564
South Africa,Johannesburg,-26.205,28.049722
South Africa,Cape Town,-33.928992,18.417396
South Africa,Durban,-29.861825,31.009909
South Africa,Port Elizabeth,-33.9617051,25.6207519
South Africa,Pretoria,-25.7459374,28.1879444
South Sudan,Juba,4.8472017,31.5951655
Tanzania,Dar es Salaam,-6.8160837,39.2803583
Togo,Lome,6.130419,1.215829
Uganda,Kampala,2.7126244,30.8199295
Zambia,Lusaka,-15.4164488,28.2821535
Zimbabwe,Harare,-17.831773,31.045686
